001	279,090		SBS		
002	171,173		연합뉴스
003	207,703		뉴스1
004	180,892		JTBC
005	179,583		뉴시스
006	217,016		한겨레
007	98,762		뉴스1
008	171,299		세계일보
009	127,201		서울신문
010	226,995		연합뉴스
011	102,335		서울신문
012	176,504		연합뉴스
013	265,568		연합뉴스
014	114,358		머니투데이
015	92,132		중앙일보
016	193,874		연합뉴스
017	237,952		헤럴드경제
018	260,206		경향신문
019	289,824		연합뉴스
020	335,232		연합뉴스
021	234,925		동아일보	
022	203,413		연합뉴스
023	1,200,079	연합뉴스
024	479,545		MBC
025	332,372		국민일보
026	297,170		뉴시스
027	222,640		연합뉴스
028	261,051		채널A
029	214,099		연합뉴스
030	398,357		연합뉴스
031	162,607		연합뉴스
032	278,501		JTBC
033	190,560		JTBC
034	269,135		연합뉴스
035	177,722		조선일보
036	291,489		머니투데이
037	126.826		뉴스1
038	263,259		연합뉴스
039	199,948		서울신문
040	161,043		파이낸셜뉴스
041	142,874		연합뉴스
042	143,268		연합뉴스
043	343,008		연합뉴스
044	122,081		뉴시스
045	924,857		연합뉴스
046	145,011		서울신문
047	228,020		연합뉴스
048	467,401		SBS
049	147,021		뉴스1
050	154,729		연합뉴스
051	173,251		연합뉴스
052	245,228		중앙일보
053	113,517		뉴스1
054	76,892		연합뉴스
055	218,706		연합뉴스
056	271,777		노컷뉴스
057	103,696		KBS
058	249,318		연합뉴스
059	268,652		연합뉴스
060	141,232		연합뉴스
061	145,286		연합뉴스
062	105,821		동아일보
063	132,032		연합뉴스
064	96,041		YTN
065	154,092		문화일보
066	127,400		연합뉴스
067	180,734		뉴스1
068	230,631		연합뉴스
069	203,467		이데일리
070	86,981		세계일보
071	148,499		연합뉴스
072	222,480		동아일보
073	134,926		중앙일보
074	191,333		동아일보
075	107,398		연합뉴스
076	192,055		연합뉴스
077	121,919		한국일보
078	190,374		JTBC
079	187,191		뉴스1
080	195,917		연합뉴스
081	501,073		연합뉴스
082	625,121		뉴스1
083	332,776		연합뉴스
084	291,168		한국일보
085	176,704		뉴시스
086	85,408		뉴스1
087	195,080		이데일리
088	134,204		연합뉴스
089	111,555		뉴스1
090	285,008		경향신문
091	167,944		뉴스1
092	158,628		연합뉴스
093	130,805		연합뉴스
094	192,120		뉴스1
095	208,941		중앙일보
096	185,218		SBS
097	415,956		뉴스1
098	77,690		머니투데이
099	114,393		연합뉴스
100	156,411		매일경제
